date,fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
1970-01-01 00:00:00.000000000,2020-12-31,USD,-3463000000,20378000000,-17037000000,1249000000,-58000000,-1816000000,-1758000000,7127000000,7222000000,11578000000,30431000000,333000000,7618000000,None,None,329000000,-4560000000,-888000000,14823000000,-4561000000,597000000,12175000000
1970-01-01 00:00:00.000000001,2020-09-30,USD,-4333000000,3346000000,-15876000000,-480000000,-1236000000,-4105000000,-2869000000,-310000000,6331000000,-8017000000,11964000000,78000000,6523000000,None,None,-3898000000,-2016000000,1600000000,11063000000,-2016000000,377000000,-7640000000
1970-01-01 00:00:00.000000002,2020-06-30,USD,-11071000000,10315000000,-17804000000,726000000,10240000000,7408000000,-2832000000,1699000000,5243000000,10209000000,20605000000,247000000,5748000000,None,None,-672000000,-2854000000,2578000000,7459000000,-2854000000,128000000,10337000000
1970-01-01 00:00:00.000000003,2020-03-31,USD,-3375000000,-10805000000,-8894000000,1276000000,26000000,-2591000000,-2617000000,-2761000000,2535000000,-8421000000,3064000000,607000000,5362000000,None,None,1392000000,1262000000,2711000000,6795000000,1262000000,-484000000,-8905000000
1970-01-01 00:00:00.000000004,2019-12-31,USD,1181000000,13577000000,-3536000000,595000000,-767000000,-3571000000,-2804000000,2894000000,3268000000,12552000000,19659000000,486000000,6170000000,None,None,-1516000000,-3905000000,1579000000,5312000000,-3905000000,304000000,12856000000
1970-01-01 00:00:00.000000005,2019-09-30,USD,-1289000000,-495000000,-5073000000,913000000,347000000,-1960000000,-2307000000,-722000000,2134000000,859000000,7892000000,-53000000,5563000000,None,None,-381000000,-1181000000,2306000000,4697000000,-1182000000,-270000000,589000000
1970-01-01 00:00:00.000000006,2019-06-30,USD,-4790000000,3044000000,-7549000000,803000000,170000000,-2158000000,-2328000000,-623000000,2625000000,-590000000,9117000000,390000000,5202000000,None,None,-2100000000,-2193000000,2149000000,3562000000,-2193000000,48000000,-542000000
1970-01-01 00:00:00.000000007,2019-03-31,USD,-4233000000,-9316000000,-8123000000,-600000000,-161000000,-2377000000,-2216000000,-2932000000,3561000000,-8654000000,1846000000,888000000,4854000000,None,None,719000000,-401000000,1541000000,3290000000,-401000000,-12000000,-8666000000
1970-01-01 00:00:00.000000008,2018-12-31,USD,-121000000,9546000000,-3572000000,283000000,-1635000000,-1761000000,-126000000,2665000000,3027000000,11144000000,16477000000,528000000,4262000000,None,None,-1350000000,-1395000000,1859000000,3734000000,-1395000000,-3000000,11141000000
1970-01-01 00:00:00.000000009,2018-09-30,USD,-2069000000,3509000000,-5572000000,-151000000,-2287000000,-2369000000,-82000000,237000000,2883000000,647000000,8588000000,623000000,3778000000,0,0,-1094000000,-2884000000,1773000000,3352000000,-2884000000,-151000000,496000000
1970-01-01 00:00:00.000000010,2018-06-30,USD,1123000000,2215000000,-2692000000,-572000000,-1335000000,-1392000000,-57000000,-205000000,2534000000,3365000000,7449000000,None,3630000000,0,0,-1090000000,-1364000000,1525000000,3243000000,-1365000000,-445000000,2920000000
1970-01-01 00:00:00.000000011,2018-03-31,USD,2207000000,-11535000000,-533000000,358000000,-2092000000,-2164000000,-72000000,-2225000000,1629000000,-4488000000,-1791000000,None,3671000000,0,0,2220000000,1029000000,1195000000,3098000000,1029000000,248000000,-4240000000
1970-01-01 00:00:00.000000012,2017-12-31,USD,1085000000,843000000,-2032000000,1816000000,-2581000000,-2647000000,-66000000,283000000,1857000000,7665000000,12344000000,None,13757000000,0,0,-2255000000,-4780000000,923000000,4933000000,-2781000000,90000000,7755000000
1970-01-01 00:00:00.000000013,2017-09-30,USD,-3247000000,6687000000,-19120000000,-13213000000,14733000000,14684000000,-49000000,-122000000,255000000,-585000000,3851000000,None,-666000000,0,0,-1593000000,0,925000000,2660000000,-1757000000,149000000,-436000000
1970-01-01 00:00:00.000000014,2017-06-30,USD,-1917000000,4881000000,-5051000000,-633000000,-1178000000,-1263000000,-85000000,-252000000,197000000,-2485000000,3829000000,None,-801000000,0,0,-682000000,0,1476000000,2501000000,-1242000000,248000000,-2237000000
1970-01-01 00:00:00.000000015,2017-03-31,USD,290000000,-4215000000,-1616000000,-45000000,-914000000,-914000000,None,-3247000000,724000000,-4120000000,-1590000000,None,-812000000,0,0,947000000,0,772000000,1861000000,994000000,226000000,-3894000000
