date,fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
1970-01-01 00:00:00.000000000,2020-12-31,USD,-470000000,2352000000,-5173000000,-90000000,48000000,-3207000000,-1326000000,2607000000,11219000000,5660000000,14040000000,195000000,1863000000,None,-1929000000,None,-3059000000,1470000000,4613000000,-3059000000,None,5660000000
1970-01-01 00:00:00.000000001,2020-09-30,USD,-6875000000,56000000,-16599000000,-6035000000,-7000000,-2911000000,-1179000000,188000000,7846000000,-9681000000,9829000000,383000000,1698000000,None,-1725000000,None,-377000000,223000000,3689000000,-377000000,None,-9681000000
1970-01-01 00:00:00.000000002,2020-06-30,USD,-338000000,-4527000000,-4178000000,-585000000,63000000,-2152000000,-847000000,-4794000000,5179000000,-2453000000,3877000000,-308000000,1704000000,None,-1368000000,None,-122000000,1951000000,3255000000,-122000000,None,-2453000000
1970-01-01 00:00:00.000000003,2020-03-31,USD,-476000000,699000000,-4109000000,-75000000,-80000000,-2022000000,-692000000,698000000,4902000000,4870000000,11001000000,-61000000,1597000000,None,-1250000000,None,2046000000,1818000000,3558000000,2046000000,None,4870000000
1970-01-01 00:00:00.000000004,2019-12-31,USD,509000000,523000000,-4036000000,-445000000,37000000,-2026000000,-767000000,937000000,7349000000,3021000000,9083000000,566000000,1468000000,None,-1296000000,None,-1697000000,874000000,4100000000,-1697000000,None,3021000000
1970-01-01 00:00:00.000000005,2019-09-30,USD,-1508000000,905000000,-5050000000,-10000000,-141000000,-2019000000,-730000000,555000000,6091000000,2238000000,9307000000,-230000000,1416000000,None,-1148000000,None,-328000000,1453000000,3532000000,-328000000,None,2238000000
1970-01-01 00:00:00.000000006,2019-06-30,USD,-313000000,4331000000,-4010000000,-64000000,58000000,-1831000000,-744000000,4128000000,2616000000,2775000000,8616000000,-139000000,1502000000,None,-1145000000,None,-1006000000,1312000000,3633000000,-1006000000,None,2775000000
1970-01-01 00:00:00.000000007,2019-03-31,USD,-2881000000,3241000000,-6768000000,-50000000,-177000000,-1423000000,-633000000,3355000000,2429000000,1117000000,9308000000,14000000,1355000000,None,-613000000,None,1070000000,1199000000,3837000000,1070000000,None,1117000000
1970-01-01 00:00:00.000000008,2018-12-31,USD,637000000,-189000000,-3685000000,-21000000,500000000,-3541000000,-541000000,-183000000,6882000000,392000000,7618000000,172000000,1225000000,None,-3500000000,None,-1564000000,1092000000,4301000000,-1564000000,None,392000000
1970-01-01 00:00:00.000000009,2018-09-30,USD,-830000000,681000000,-4247000000,-75000000,500000000,-5157000000,-901000000,612000000,5137000000,-1906000000,7498000000,-7000000,1107000000,0,-4256000000,0,-489000000,1069000000,3342000000,-489000000,None,-1906000000
1970-01-01 00:00:00.000000010,2018-06-30,USD,1092000000,107000000,-2384000000,-16000000,500000000,-4271000000,-922000000,-561000000,5105000000,-357000000,6298000000,-618000000,1034000000,0,-3349000000,0,-627000000,1297000000,3460000000,-627000000,None,-357000000
1970-01-01 00:00:00.000000011,2018-03-31,USD,1575000000,562000000,-1287000000,-50000000,500000000,-2603000000,-829000000,223000000,4988000000,3970000000,7860000000,-343000000,949000000,0,-1774000000,0,788000000,916000000,2812000000,788000000,None,3970000000
1970-01-01 00:00:00.000000012,2017-12-31,USD,-2717000000,2862000000,-4993000000,-13000000,500000000,-1843000000,-885000000,3449000000,4269000000,835000000,7671000000,466000000,853000000,0,-958000000,0,-1609000000,595000000,2263000000,-1374000000,43000000,878000000
1970-01-01 00:00:00.000000013,2017-09-30,USD,-1892000000,194000000,-3714000000,-67000000,None,-1531000000,-891000000,138000000,4706000000,882000000,6127000000,-9000000,772000000,0,-640000000,0,235000000,922000000,1755000000,-458000000,67000000,949000000
1970-01-01 00:00:00.000000014,2017-06-30,USD,-4010000000,218000000,-5440000000,14000000,None,-869000000,-719000000,79000000,3895000000,-949000000,5360000000,-161000000,729000000,0,-150000000,0,223000000,1065000000,1444000000,-386000000,97000000,-852000000
1970-01-01 00:00:00.000000015,2017-03-31,USD,-4631000000,260000000,-5891000000,11000000,None,-992000000,-764000000,-334000000,3064000000,-1825000000,5058000000,-334000000,671000000,0,-228000000,0,609000000,788000000,1271000000,609000000,26000000,-1799000000
1970-01-01 00:00:00.000000016,2016-12-31,USD,-643000000,1834000000,-1975000000,-63000000,-312000000,-1416000000,-1416000000,2198000000,4273000000,2959000000,6350000000,-1300000000,614000000,0,0,0,-1489000000,1940000000,1269000000,-1011000000,-94000000,2865000000
1970-01-01 00:00:00.000000017,2016-09-30,USD,-1969000000,27000000,-3117000000,-53000000,None,451000000,451000000,-12000000,2379000000,930000000,3577000000,450000000,591000000,0,0,0,478000000,383000000,1095000000,-253000000,19000000,930000000
