date,fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
1970-01-01 00:00:00.000000000,2020-12-31,USD,-1375000000,6316000000,-7281000000,-427000000,-57000000,-9270000000,-1647000000,5237000000,15227000000,6126000000,22677000000,1294000000,3725000000,None,-7566000000,None,-5445000000,5285000000,5479000000,-5445000000,None,6126000000
1970-01-01 00:00:00.000000001,2020-09-30,USD,-15197000000,700000000,-15197000000,-406000000,9802000000,546000000,-1359000000,3726000000,11247000000,2387000000,17003000000,2479000000,3478000000,None,-7897000000,None,-3601000000,1522000000,5406000000,-3601000000,None,2352000000
1970-01-01 00:00:00.000000002,2020-06-30,USD,-3011000000,2361000000,-8448000000,-46000000,-35000000,-7498000000,-1475000000,1367000000,6959000000,-1953000000,13993000000,1590000000,3386000000,None,-5988000000,None,-80000000,3163000000,5391000000,-80000000,None,-1953000000
1970-01-01 00:00:00.000000003,2020-03-31,USD,3936000000,-4611000000,-1847000000,222000000,-49000000,-8186000000,-1241000000,-4517000000,6836000000,1418000000,11451000000,2961000000,3108000000,None,-6896000000,None,2602000000,3663000000,6005000000,2602000000,None,1418000000
1970-01-01 00:00:00.000000004,2019-12-31,USD,3370000000,1719000000,-4703000000,-2021000000,-47000000,-7326000000,-1199000000,5481000000,10671000000,2398000000,14427000000,4438000000,3413000000,None,-6080000000,None,-4365000000,1964000000,6052000000,-4365000000,None,2398000000
1970-01-01 00:00:00.000000005,2019-09-30,USD,-2466000000,2095000000,-8945000000,253000000,-145000000,-6954000000,-1131000000,1503000000,7068000000,-433000000,15466000000,3990000000,2920000000,None,-5678000000,None,-1000000,2314000000,6732000000,-1000000,None,-433000000
1970-01-01 00:00:00.000000006,2019-06-30,USD,-4236000000,242000000,-10455000000,-93000000,-46000000,-4746000000,-1260000000,1479000000,9947000000,-2574000000,12627000000,205000000,2835000000,None,-3440000000,None,-1146000000,3379000000,6126000000,-1146000000,None,-2592000000
1970-01-01 00:00:00.000000007,2019-03-31,USD,-685000000,414000000,-5388000000,-65000000,-30000000,-4183000000,-1175000000,-641000000,6657000000,2429000000,12000000000,1039000000,2416000000,None,-2978000000,None,1172000000,2718000000,4638000000,1172000000,18000000,2447000000
1970-01-01 00:00:00.000000008,2018-12-31,USD,215000000,2571000000,-6876000000,-10000000,-5000000,-2746000000,-1041000000,2869000000,8948000000,3365000000,12987000000,2154000000,2575000000,None,-1700000000,None,-2887000000,2201000000,7081000000,-2887000000,-107000000,3258000000
1970-01-01 00:00:00.000000009,2018-09-30,USD,-5128000000,938000000,-10408000000,2000000,-25000000,-3478000000,-1253000000,1480000000,9192000000,-676000000,13210000000,602000000,2356000000,0,-2200000000,0,-670000000,3148000000,5282000000,-670000000,-29000000,-705000000
1970-01-01 00:00:00.000000010,2018-06-30,USD,2268000000,4029000000,-3374000000,-165000000,-1344000000,-4937000000,-1541000000,5210000000,3195000000,1821000000,10132000000,809000000,2112000000,0,-2052000000,0,-312000000,2411000000,5477000000,-312000000,-331000000,1490000000
1970-01-01 00:00:00.000000011,2018-03-31,USD,673000000,-108000000,-7846000000,-1220000000,1313000000,-2018000000,-1158000000,-1669000000,9401000000,1778000000,11642000000,-1533000000,1986000000,0,-2173000000,0,1700000000,2182000000,7299000000,1700000000,165000000,1943000000
1970-01-01 00:00:00.000000012,2017-12-31,USD,-2671000000,11681000000,-6974000000,4000000,-22000000,-3178000000,-1055000000,3682000000,-3020000000,116000000,10268000000,2755000000,6899000000,0,-2101000000,0,-3768000000,1901000000,4307000000,-3049000000,18000000,134000000
1970-01-01 00:00:00.000000013,2017-09-30,USD,-10763000000,2320000000,-14404000000,-103000000,-8000000,-706000000,-1018000000,-22000000,6732000000,-5238000000,9872000000,381000000,0,0,320000000,0,719000000,1589000000,3538000000,-1150000000,108000000,-5130000000
1970-01-01 00:00:00.000000014,2017-06-30,USD,-4312000000,1366000000,-7172000000,-29000000,-38000000,-2740000000,-1084000000,3309000000,3524000000,-2509000000,7403000000,1395000000,0,0,-1618000000,0,-431000000,1954000000,2831000000,-836000000,88000000,-2421000000
1970-01-01 00:00:00.000000015,2017-03-31,USD,-283000000,-1144000000,-2851000000,-60000000,-18000000,-1674000000,-1009000000,-128000000,5426000000,5023000000,9548000000,1369000000,0,0,-647000000,0,-1267000000,2630000000,2508000000,1267000000,191000000,5214000000
1970-01-01 00:00:00.000000016,2016-12-31,USD,-976000000,2202000000,-4702000000,-648000000,-13000000,-892000000,-879000000,2420000000,5333000000,3819000000,9413000000,2411000000,6100000000,0,0,0,-2578000000,1746000000,3078000000,-2279000000,-307000000,3512000000
1970-01-01 00:00:00.000000017,2016-09-30,USD,-8871000000,1780000000,-13045000000,-1591000000,-274000000,-1089000000,-815000000,None,5061000000,-4289000000,9845000000,1645000000,0,0,0,0,299000000,1641000000,2583000000,-282000000,68000000,-4221000000
1970-01-01 00:00:00.000000018,2016-06-30,USD,-4756000000,2035000000,-7173000000,-294000000,-1042000000,-3440000000,-803000000,None,4877000000,-1493000000,9120000000,1563000000,0,0,-1595000000,0,17000000,1480000000,2123000000,-835000000,9000000,-1484000000
1970-01-01 00:00:00.000000019,2016-03-31,USD,-3626000000,-1044000000,-6245000000,-191000000,-6000000,-2911000000,-807000000,None,4207000000,-1498000000,7658000000,1705000000,0,0,-2098000000,0,-818000000,1972000000,2428000000,818000000,60000000,-1438000000
1970-01-01 00:00:00.000000020,2015-09-30,USD,None,None,-18224000000,0,None,-1312000000,None,None,11425000000,None,19609000000,None,0,-47000000,0,0,336000000,None,7815000000,None,None,None
