date,fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
1970-01-01 00:00:00.000000000,2020-12-31,USD,-146399000,-68687000,-146399000,1957000,None,33987000,None,-310774000,542156000,-250084000,-137672000,-324049000,31943000,None,33987000,None,None,-319035000,148356000,None,None,-250084000
1970-01-01 00:00:00.000000001,2020-09-30,USD,-118651000,377704000,-118651000,-8840000,None,68665000,None,223054000,789976000,1213775000,1263761000,47825000,28589000,None,68665000,None,None,19667000,109811000,None,None,1213775000
1970-01-01 00:00:00.000000002,2020-06-30,USD,-142001000,-217477000,-142001000,-260000,1001905000,1090965000,-7559000,-141187000,720196000,1990040000,1041076000,103148000,26661000,None,89060000,None,None,408548000,141741000,None,None,1990040000
1970-01-01 00:00:00.000000003,2020-03-31,USD,-98303000,65038000,-98303000,-288000,1009464000,43694000,-7559000,45392000,709067000,205303000,259912000,-917681000,28517000,None,43694000,None,None,374971000,98015000,None,None,205303000
1970-01-01 00:00:00.000000004,2019-12-31,USD,-207571000,-3189000,-207571000,-99834000,2208168000,2223801000,-17942000,-476990000,586970000,554255000,-1461975000,-1716850000,27818000,None,15633000,None,None,-356724000,107737000,None,None,554255000
1970-01-01 00:00:00.000000005,2019-09-30,USD,-49354000,253229000,-49354000,-4021000,2226110000,11989000,-17942000,216094000,665244000,-539159000,-501794000,-1383710000,26704000,None,11989000,None,None,-63261000,45333000,None,None,-539159000
1970-01-01 00:00:00.000000006,2019-06-30,USD,-50036000,-29379000,-50036000,-10452000,2225004000,2246900000,-18192000,-77055000,270650000,1653110000,-543754000,-1051797000,25496000,None,21896000,None,None,241276000,39584000,None,None,1653110000
1970-01-01 00:00:00.000000007,2019-03-31,USD,-80103000,33180000,-80103000,-19722000,2243196000,22972000,-18192000,121085000,344052000,-436930000,-379799000,-853320000,23561000,None,22972000,None,None,72728000,60381000,None,None,-436930000
1970-01-01 00:00:00.000000008,2018-12-31,USD,None,-26046000,-80358000,-10238000,2042973000,2053864000,-559000,-164876000,133934000,738434000,-1235072000,-1694450000,23219000,None,11450000,None,None,328271000,70120000,None,-39682000,698752000
1970-01-01 00:00:00.000000009,2018-09-30,USD,None,148534000,-168694000,-129361000,2061852000,29237000,-544000,78027000,402835000,-829868000,-690411000,-1372964000,21161000,0,29781000,0,0,110023000,39333000,None,None,-829868000
1970-01-01 00:00:00.000000010,2018-06-30,USD,None,-21270000,-40316000,-12993000,1883008000,1909412000,-532000,-37833000,384349000,1350857000,-518239000,-1189732000,19736000,0,26936000,0,0,288678000,27323000,None,None,1350857000
1970-01-01 00:00:00.000000011,2018-03-31,USD,None,248402000,-49752000,-12582000,1900000000,56014000,-321000,76974000,290124000,-230495000,-236757000,-1268844000,19041000,0,56335000,0,0,474520000,37170000,None,None,-230495000
1970-01-01 00:00:00.000000012,2017-12-31,USD,74819000,141997000,-35841000,-89075000,1583172000,1597943000,66000,-193556000,185517000,1074145000,-487957000,-872254000,19073000,0,14705000,0,0,37710000,21585000,None,2181000,1076326000
1970-01-01 00:00:00.000000013,2017-09-30,USD,247479000,140982000,202192000,-11324000,-312000,34422000,65000,25058000,129590000,-182993000,-419607000,-723229000,19238000,0,34669000,0,0,13812000,33963000,None,10685000,-172308000
1970-01-01 00:00:00.000000014,2017-06-30,USD,17487000,-13872000,-56432000,-8688000,1405497000,1420386000,63000,-169688000,65600000,829426000,-534528000,-1218762000,18551000,0,14826000,0,0,613955000,65231000,None,11527000,840953000
1970-01-01 00:00:00.000000015,2017-03-31,USD,3074000,97763000,-75590000,-26141000,1600000000,24239000,61000,-16552000,178222000,-395207000,-343856000,-1040937000,15049000,0,24178000,0,0,406047000,52523000,None,5455000,-389752000
1970-01-01 00:00:00.000000016,2016-12-31,USD,293077000,28224000,24422000,-207607000,989300000,1042472000,27780000,63382000,66748000,509734000,-557160000,-763496000,14189000,0,25392000,0,0,97175000,61048000,None,-11316000,498418000
1970-01-01 00:00:00.000000017,2016-09-30,USD,68466000,86997000,23976000,-17124000,1000000000,16639000,12820000,-815000,51517000,-421326000,-461941000,-1199503000,14410000,0,3819000,0,0,584638000,27366000,None,-441000,-421767000
1970-01-01 00:00:00.000000018,2016-06-30,USD,24935000,33647000,-2896000,-17017000,1000000000,17612000,13380000,21088000,40755000,-211577000,-226293000,-575296000,14131000,0,4232000,0,0,260470000,10814000,None,-2742000,-214319000
1970-01-01 00:00:00.000000019,2016-03-31,USD,36251000,48836000,4263000,-23563000,None,14907000,11371000,None,27658000,-209420000,-228590000,-1252865000,14798000,0,3536000,0,0,932983000,8425000,None,5334000,-204086000
1970-01-01 00:00:00.000000020,2015-12-31,USD,362745000,26394000,-40561000,-390452000,54000,-17458000,-25683000,49137000,43178000,-302764000,-244745000,-2341845000,-2488620000,0,8171000,0,0,4516148000,12854000,None,-3343000,-306107000
